"Product activation key","Produktaktivierungsschlüssel"
"Novalnet Minimum Order Total","Mindestwert für Gesamtbestellung (in Euro)"
"Novalnet Maximum Order Total","Höchstwert für Gesamtbestellung (in Euro)"
"Novalnet Minimum Orders Count","Mindestanzahl an Bestellungen"
"Novalnet Minimum Orders Count Desc","Standardwert: ""0"" (Prüfung deaktiviert) | Mindestanzahl der vorherigen Bestellungen des Endkunden, damit dieser diese Zahlungsart verwenden darf."
"Novalnet Sort Order","Geben Sie eine Sortierreihenfolge an."
"SEPA Payment duration in days","Fälligkeitsdatum (in Tagen)"
"SEPA Payment duration in days description","Geben Sie die Anzahl der Tage ein, nach denen der Zahlungsbetrag eingezogen werden soll (muss zwischen 2 und 14 Tagen liegen)."
"Enable auto-fill for payment data","Automatisches Eintragen der Zahlungsdaten aktivieren"
"Enable auto-fill for payment data description","Für registrierte Benutzer werden die SEPA-Lastschriftdetails automatisch in das Zahlungsformular eingetragen."
"Invoice payment duration","Fälligkeitsdatum (in Tagen)"
"Prepayment payment duration","Fälligkeitsdatum (in Tagen)"
"Prepayment payment duration description","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag an Novalnet zu überweisen (muss zwischen 7 und 28 Tagen liegen). Wenn Sie dieses Feld leer lassen, werden standardmäßig 14 Tage als Fälligkeitsdatum festgelegt."
"Invoice payment duration description","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag an Novalnet zu überweisen (muss mehr als 7 Tage betragen). Wenn Sie dieses Feld leer lassen, werden standardmäßig 14 Tage als Fälligkeitsdatum festgelegt"
"Enable the payment Method and activate the Risk and Control option","Zahlungsart und Risikomanagement-Einstellungen aktivieren"
"Orders","Bestellungen"
"Novalnet Transactions","Novalnet Transaktions"
"Novalnet Transactions Overview","Novalnet-Transaktionsübersicht"
"Transactions Overview","Transaktionsübersicht"
"Configuration","Konfiguration"
"General","General"
"Payment Methods","Zahlungsmethode"
"Payment Method","Zahlungsart"
"Risk and Control","Risikomanagement und Kontrolle"
"Information","Informationen"
"Novalnet Merchant Admin","Novalnet Händler Admin"
"Novalnet Magento Module","Novalnet Magento Modul"
"None","Keiner"
"PIN by callback","PIN-by-Callback"
"PIN by SMS","PIN-by-SMS"
"Novalnet Capture","Novalnet Erfassen"
"IBAN","IBAN"
"BIC","BIC"
"Novalnet Recurring Profiles","Novalnet Wiederkehrende Profile"
"Customer was redirected to Novalnet","Besteller zu Novalnet umgeleitet"
"checkHash failed","Während der Umleitung wurden einige Daten geändert. Die Überprüfung des Hashes schlug fehl."
"Customer successfully returned from Novalnet","Der Kunde wurde erfolgreich von Novalnet zurückgeleitet."
"Are you sure you want to do this?","Sind Sie sicher, daß Sie das machen wollen?"
"Cancel","Stornieren"
"Continue","Bestätigen"
"You will be redirected to Novalnet AG in a few seconds.","Sie werden in wenigen Sekunden zur Novalnet AG weitergeleitet."
"Transactions","Transaktions"
"Novalnet - Transaction Log","Novalnet-Transaktions-Log"
"Transactions Log","Transaktions-Log"
"Novalnet - Transaction Overview"," Novalnet-Transaktionsübersicht"
"Transaction ID","Transaktions-ID"
"Transaction Status","Transaktionen Status"
"NC No","NC No"
"Customer ID","Kundennummer"
"Day","Tag"
"Month","Monat"
"Year","Jahr"
"Please select reason","Wählen Sie bitte den Grund aus"
"Product is costly","Angebot zu teuer"
"Cheating","Betrug"
"Partner interfered","(Ehe-)Partner hat Einspruch eingelegt"
"Financial problem","Finanzielle Schwierigkeiten"
"Content does not match my likes","Inhalt entsprach nicht meinen Vorstellungen"
"Content is not enough","Inhalte nicht ausreichend"
"Interested only for a trial","Nur an Probezugang interessiert"
"Page is very slow","Seite zu langsam"
"Satisfied customer","Zufriedener Kunde"
"Logging in problems","Zugangsprobleme"
"Other reasons","Sonstige"
"Please select the reason of subscription cancellation","Wählen Sie bitte den Grund für die Abonnementskündigung aus."
"Your account details are invalid","Ihre Kontodaten sind ungültig."
"No active payment method for this store","Für diesen Shop ist keine Zahlungsart aktiviert."
"Payment was not successful. An error occurred.","Die Zahlung war nicht erfolgreich. Ein Fehler trat auf."
"Payment Failed","Zahlung fehlgeschlagen"
"Trial Billing Cycles are not support Novalnet payment","Testzeiträume werden von den Novalnet-Zahlungsarten nicht unterstützt"
"Required parameter not valid","Ungültiger Wert für Pflichtfeld"
"Payment was successful","Zahlung war erfolgreich"
"Payment was not successfull","Die Zahlung war nicht erfolgreich. Ein Fehler trat auf."
"Payment Failed","Zahlung fehlgeschlagen"
"Gateway request error: %s","Fehler beim übertragen der Daten: %s"
"Basic parameter not valid","Füllen Sie bitte alle Pflichtfelder aus."
"Order-ID","Bestellnummer"
"Transaction-ID","Transaktions-ID"
"Customer-ID","Kundennummer"
"Payment Name","Zahlungsart"
"Novalnet Shop Information","Novalnet Shop Informationen"
"Shop URL","Shop URL"
"Novalnet Additional Information","Novalnet Zusätzliche Informationen"
"Novalnet Request Data","Novalnet Aufrufdaten"
"Request Data","Aufrufdaten"
"Novalnet Response Data","Novalnet Rückgabedaten"
"Response Data","Rückgabedaten"
"Novalnet Order Information","Novalnet Bestellinformationen"
"Successful","erfolgreiche"
"Transaction-Status","Status der Transaktion"
"Testorder","Testbestellung"
"TID: %s","Novalnet Transaktions-ID: %s"
"Novalnet Transaction ID: %s","Novalnet Transaktions-ID: %s"
"Next Payment Date is: %s","Nächstes Belastungsdatum: %s"
"The transaction has been canceled on %s","Die Transaktion wurde am %s storniert."
"The transaction has been confirmed on %s","Die Buchung wurde am %s bestätigt."
"Subscription Cancellation: %s","Das Abonnement wurde gekündigt wegen: %s"
"Please transfer the invoice amount with the following information to our payment provider Novalnet AG","Überweisen Sie bitte den Betrag an die unten aufgeführte Bankverbindung unseres Zahlungsdienstleisters Novalnet."
"Please transfer the amount of %s to the following account on or before %s","Bitte überweisen Sie den Betrag von %s spätestens bis zum %s auf das folgende Konto"
"Please transfer the amount of %s to the following account","Please transfer the amount of %s to the following account"
"Due Date","Fälligkeitsdatum"
"NN Account Holder","Kontoinhaber"
"NN_Bank","Bank"
"NN_Amount","Betrag"
"Amount","Betrag"
"Order No","Bestellnummer"
"Please Note: This transaction will run on TEST MODE and the amount will not be charged","Die Zahlung wird im Testmodus durchgeführt, daher wird der Betrag für diese Transaktion nicht eingezogen."
"redirect payment description","Nach der erfolgreichen Überprüfung werden Sie auf die abgesicherte Novalnet-Bestellseite umgeleitet, um die Zahlung fortzusetzen."
"The amount will be debited from your account by Novalnet","Der Betrag wird durch Novalnet von Ihrem Konto abgebucht."
"Invoice/Prepayment payment description","Sie erhalten eine E-Mail mit den Bankdaten von Novalnet, um die Zahlung abzuschließen."
"Cashpayment payment description","Nach erfolgreichem Bestellabschluss erhalten Sie einen Zahlschein bzw. eine SMS. Damit können Sie Ihre Online-Bestellung bei einem unserer Partner im Einzelhandel (z.B. Drogerie, Supermarkt etc.) bezahlen."
"The amount will be debited from your credit/debit card","Der Betrag wird Ihrer Kredit-/Debitkarte belastet"
"NN CC type","Kartentyp"
"Account Holder","Kontoinhaber"
"NN Country","Land der Bank"
"Account Holder","Kontoinhaber"
"IBAN or Account number","IBAN oder Kontonummer"
"BIC or Bank code","BIC oder Bankleitzahl"
"NN Confirm","Hiermit erteile ich das SEPA-Lastschriftmandat und bestätige, dass die angegebene IBAN und BIC korrekt sind."
"SEPA Due date is not valid","SEPA Fälligkeitsdatum Ungültiger"
"Mobile phone number","Mobiltelefonnummer"
"NN Mobile Number","Telefonnummer"
"Note for pin by sms and callback","Nachdem Sie auf den Button ""Weiter"" geklickt haben, erhalten Sie in Kürze eine PIN via Telefon / SMS. Geben Sie diese PIN bitte in das passende Textfeld ein."
"PIN","PIN zu Ihrer Transaktion"
"Forgot PIN? [New PIN Request]","PIN vergessen?"
"The order amount has been changed","Der Bestellbetrag hat sich geändert, setzen Sie bitte die neue Bestellung fort."
"You will shortly receive an SMS","In Kürze erhalten Sie eine SMS mit der PIN zu Ihrer Transaktion, um die Zahlung abzuschließen."
"You will shortly receive a transaction PIN","In Kürze erhalten Sie einen Telefonanruf mit der PIN zu Ihrer Transaktion, um die Zahlung abzuschließen"
"The PIN you entered is incorrect","Die von Ihnen eingegebene PIN ist falsch."
"Please enter your telephone number","Geben Sie bitte Ihre Telefonnummer ein"
"Please enter your mobile number","Geben Sie bitte Ihre Mobiltelefonnummer ein."
"Your E-mail address is invalid","Ihre Emailadresse ist ungültig."
"Customer name/email fields are not valid","Ungültige Werte für die Felder Kundenname-/email"
"Refund reference","Referenz für die Rückerstattung"
"Period for subsequent subscription cycle","Zeitraum für den folgenden Abonnementzyklus"
"The period of the subsequent subscription cycle (E.g: 1d/1m/1y)","Beschreibung: Zeitraum des folgenden Abonnementzyklus (z.B. 1d/1m/1y)"
"Enter your PIN","PIN eingeben."
"NN_Reference","Verwendungszweck"
"NN_Reference1","Verwendungszweck 1"
"NN_Reference2","Verwendungszweck 2"
"NN_Reference3","Verwendungszweck 3"
"payment reference one","Verwendungszweck 1: (Novalnet Rechnungsnummer)"
"payment reference two","Verwendungszweck 2: (TID)"
"payment reference three","Verwendungszweck 3: (Bestellnummer)"
"NN_Reference_desc1","Bitte verwenden Sie einen der unten angegebenen Verwendungszwecke für die Überweisung. Nur so kann Ihr Geldeingang Ihrer Bestellung zugeordnet werden."
"NN_Reference_desc2","Bitte verwenden Sie einen der unten angegebenen Verwendungszwecke für die Überweisung. Nur so kann Ihr Geldeingang Ihrer Bestellung zugeordnet werden."
"Please select atleast one payment reference.","Wählen Sie mindestens einen Verwendungszweck aus."
"Refund has been initiated for the TID: %s with the amount %s. New TID: %s for the refunded amount %s","Die Rückerstattung für die TID %s mit dem Betrag %s wurde veranlasst. Die neue TID: %s für den erstatteten Betrag lautet: %s"
"Refund has been initiated for the TID: %s with the amount of %s","Die Rückerstattung für die TID %s mit dem Betrag %s wurde veranlasst."
"Please don’t close the browser after successful payment","Bitte schließen Sie den Browser nach der erfolgreichen Zahlung nicht, bis Sie zum Shop zurückgeleitet wurden."
"Add new card details for later purchases","Neue Kartendaten für spätere Käufe hinzufügen"
"Enter new card details","Neue Kartendaten für spätere Käufe hinzufügen"
"Given card details","Eingegebene Kartendaten"
"Enter account details","Neue Kontodaten eingeben"
"Given account details","Eingegebene Kontodaten"
"I want to save my card details for later purchases","Ich möchte meine Kartendaten für spätere Einkäufe speichern"
"Save my PayPal account details for later purchases","Ich möchte meine PayPal-Kontodaten für spätere Einkäufe speichern"
"I want to save my account details for later purchases","Ich möchte meine Kontodaten für spätere Einkäufe speichern"
"Notify Novalnet updates","Benachrichtigung bei Novalnet-Updates"
"Notify, if any, updates available in Novalnet payment module","Benachrichtigung, falls Updates für ein Novalnet-Zahlungsmodul erhältlich sind"
"Send an e-mail using zend/magento template","E-Mail mit Zend-/Magento-Template verschicken"
"Novalnet merchant script log","Log für das Novalnet-Händlerskript"
"If yes, the merchant script log will be created","Wenn ja, wird ein Log für das Händlerskript angelegt"
"Are you sure you want to capture the payment?","Sind Sie sicher, dass Sie die Zahlung einziehen möchten?"
"Order Status Management","Verwaltung des Bestellstatus für ausgesetzte Zahlungen"
"One click shopping","Kauf mit einem Klick"
"NN None","Keiner"
"Date Of Birth","Ihr Geburtsdatum"
"You need to be at least 18 years old","Sie müssen mindestens 18 Jahre alt sein."
"Novalnet callback received. Refund/Bookback executed successfully for the TID: %s amount: %s on %s. The subsequent TID: %s","Novalnet-Callback-Meldung erhalten: Rückerstattung / Bookback erfolgreich ausgeführt für die TID: %s Betrag: %s am %s. TID der Folgebuchung: %s"
"Novalnet callback received. Chargeback executed successfully for the TID: %s amount: %s on %s. The subsequent TID: %s","Novalnet-Callback-Nachricht erhalten: Chargeback erfolgreich importiert für die TID: %s Betrag: %s am %s Uhr. TID der Folgebuchung: %s"
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s. Please refer PAID transaction in our Novalnet Merchant Administration with the TID: %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag %s am , um %s Uhr. Bitte suchen Sie nach der bezahlten Transaktion in unserer Novalnet-Händleradministration mit der TID: %s."
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag am %s, um %s Uhr"
"Novalnet callback script received. Subscription has been stopped for the TID: %s on %s","Nachricht vom Novalnet-Callback-Skript erhalten: Das Abonnement wurde für die TID: %s am %s, Uhr eingestellt"
"Subscription has been canceled due to: ","Das Abonnement wurde gekündigt wegen: "
"Reference order id: %s","Verwendungszweck Bestellnummer: %s"
"Novalnet Callback Script executed successfully for the subscription TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die Abonnements TID: %s mit dem Betrag %s am %s."
"Novalnet Callback Script executed successfully on %s","Novalnet-Callback-Skript erfolgreich ausgeführt am %s"
"Novalnet Callback Script executed successfully for the TID: %s with amount %s on %s","Novalnet-Callback-Skript erfolgreich ausgeführt für die TID: %s mit dem Betrag %s am %s Uhr."
"Payment guarantee configuration","Einstellungen für die Zahlungsgarantie"
"Payment guarantee comments","<b>Grundanforderungen für die Zahlungsgarantie</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 9.99 EUR<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"Payment instalment comments","<b>Voraussetzungen für die Ratenzahlung</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 19.98 EUR<br>Bitte beachten Sie, dass der Betrag einer Rate mindestens 9.99 EUR betragen muss und Raten, die diese Kriterien nicht erfüllen, nicht im Ratenplan angezeigt werden<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"Enable payment guarantee","Zahlungsgarantie aktivieren"
"Novalnet Minimum order amount","Mindestbestellbetrag (in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1,00 EUR)"
"This setting will override the default setting made in the minimum order amount. Note: Minimum amount should be greater than or equal to 9,99 EUR","Diese Einstellung überschreibt die Standardeinstellung für den Mindest-Bestellbetrag. Anmerkung: der Mindest-Bestellbetrag sollte größer oder gleich 9,99 EUR sein"
"Force Non-Guarantee payment","Zahlung ohne Zahlungsgarantie erzwingen"
"The minimum amount should be at least 9,99 EUR","Der Mindestbetrag sollte bei mindestens 9,99 EUR"
"Form appearance","Darstellung des Formulars"
"Custom CSS Settings","Angepasste CSS-Einstellungen"
"CSS settings for Credit Card fields","CSS-Einstellungen für Felder mit Kreditkartendaten"
"Form fields","Formularfelder"
"NN Label","Beschriftung"
"Input field","Eingabefeld"
"CSS settings for Credit Card iframe","CSS-Einstellungen für den iFrame mit Kreditkartendaten"
"NN Input","Eingabe"
"CSS text","Text für das CSS"
"Proceed with new PayPal account details","Mit neuen PayPal-Kontodetails fortfahren"
"Given PayPal account details","Angegebene PayPal-Kontodetails"
"PayPal transaction ID: %s","PayPal Transaktions-ID: %s"
"In order to use this option you must have billing agreement option enabled in your PayPal account. Please contact your account manager at PayPal.","Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Once the order is submitted, the payment will be processed as a reference transaction at Novalnet","Sobald die Bestellung abgeschickt wurde, wird die Zahlung bei Novalnet als Referenztransaktion verarbeitet."
"The payment cannot be processed, because the basic requirements haven’t been met.","Die Zahlung kann nicht verarbeitet werden, weil die grundlegenden Anforderungen nicht erfüllt wurden."
"The transaction has been canceled due to: %s","Die Transaktion wurde storniert. Grund: %s"
"The amount of %s for the order %s has been paid. Please verify received amount and TID details, and update the order status accordingly.","Der Betrag von %s für die Bestellung %s wurde bezahlt. Überprüfen Sie bitten den erhaltenen Betrag und die Details zur TID und aktualisieren Sie den Status der Bestellung entsprechend."
"Created on","Angelegt am"
"Updated on","Aktualisiert am"
"Your credit card details are invalid","Ihre Kreditkartendetails sind ungültig"
"Card holder name","Name des Karteninhabers"
"Name on card","Name auf der Kreditkarte"
"Card number","Kreditkartennummer"
"XXXX XXXX XXXX XXXX","XXXX XXXX XXXX XXXX"
"Expiry date","Ablaufdatum"
"MM / YYYY","MM / YYYY"
"CVC/CVV/CID","CVC/CVV/CID"
"XXX","XXX"
"what is this?","Was ist das?"
"This is processed as a guarantee payment","Diese Transaktion wird mit Zahlungsgarantie verarbeitet"
"Change the due date","Fälligkeitsdatum ändern"
"Transaction due date","Fälligkeitsdatum der Transaktion"
"Change the slip expiry date","Ablaufdatum des Zahlscheins ändern"
"Slip expiry date","Verfallsdatum des Zahlscheins"
"Are you sure you want to change the due date?","Sind Sie sicher, dass Sie das Fälligkeitsdatum ändern möchten?"
"Are you sure you want to change the slip expiry date?","Sind Sie sicher, dass Sie das Ablaufdatum des Zahlscheins ändern wollen?"
"The transaction has been updated with a new due date %s","Die Transaktion wurde aktualisiert. Neues Fälligkeitsdatum: %s."
"The date should be in future","Das Datum sollte in der Zukunft liegen."
"Barzahlen","Barzahlen/viacash"
"Slip expiry date (in days)","Fälligkeitsdatum (in Tagen)"
"paypal onclick description","Zahlungsdaten, die während des Bestellvorgangs gespeichert werden, können für zukünftige Zahlungen verwendet werden.<br>Um diese Option zu verwenden, müssen Sie die Option Billing Agreement (Zahlungsvereinbarung) in Ihrem PayPal-Konto aktiviert haben. Kontaktieren Sie dazu bitte Ihren Kundenbetreuer bei PayPal."
"Cashpayment duration description","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag in einer Filiale zu bezahlen. Wenn Sie dieses Feld leer lassen, ist der Zahlschein standardmäßig 14 Tage lang gültig"
"Slip expiry date: %s","Verfallsdatum des Zahlscheins: %s"
"Store(s) near you:","Barzahlen-Partnerfiliale in Ihrer Nähe:"
"Pay now with Barzahlen","Bezahlen mit Barzahlen"
"DD/MM/YYYY","TT.MM.JJJJ"
"Please enter valid birthdate","Geben Sie ein gültiges Geburtsdatum ein"
"The transaction has been confirmed successfully for the TID: %s and the due date updated as %s","Die Transaktion mit der TID: %s wurde erfolgreich bestätigt und das Fälligkeitsdatum auf %s gesetzt."
"Novalnet callback received. The transaction has been confirmed successfully for the TID: %s and the due date updated as %s","Novalnet-Callback-Meldung erhalten: Die Transaktion mit der TID: %s wurde erfolgreich bestätigt und das Fälligkeitsdatum auf %s gesetzt."
"Enter the Novalnet Product activation key that is required for authentication and click Activate. You will find the Product activation key in the <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin Portal</a>: PROJECT > Choose your project > Shop Parameters > API Signature (Product activation key).","Geben Sie den Novalnet-Produktaktivierungsschlüssel ein, der für die Authentifizierung erforderlich ist, und klicken Sie auf Aktivieren. Den Produktaktivierungsschlüssel finden Sie im <a href='https://admin.novalnet.de/' target='_blank'>Novalnet Admin-Portal</a> > PROJEKT > Wählen Sie Ihr Projekt > Parameter Ihres Shops > API-Signature (Aktivierungsschlüssel des Produkts)."
"Novalnet callback received. The transaction has been confirmed on %s","Novalnet-Callback-Meldung erhalten: Die Buchung wurde am %s Uhr bestätigt"
"Novalnet callback received. The transaction has been canceled on %s","Novalnet-Callback-Meldung erhalten: Die Transaktion wurde am %s Uhr storniert"
